School Name,City,Rank,Latitude,Longitude
Morris School,Morris,1,49.351310,-97.358584
Duke of Marlborough School,Churchill,2,58.771256,-94.168713
Neelin High,Brandon,3,49.832393,-99.952181
R.B. Russell Vocational School,Winnipeg,4,49.910950,-97.141686
Fort Richmond Collegiate,Winnipeg,5,49.791283,-97.152783
Nelson McIntyre Collegiate,Winnipeg,6,49.876048,-97.120709
Hartney School,Hartney,7,49.476699,-100.518744
Boissevain School,Boissevain,8,49.236200,-100.060532
Winnipegosis Collegiate,Winnipegosis,9,51.649345,-99.928664
Niverville Collegiate,Niverville,10,49.608301,-97.052520
Miles Macdonell Collegiate,Winnipeg,11,49.923633,-97.095451
The King's School,Winnipeg,12,49.982215,-97.089849
Goose Lake High,Roblin,13,51.223785,-101.361921
Collège Pierre-Elliott-Trudeau,Winnipeg,14,49.897226,-96.978516
Nellie McClung Collegiate,Manitou,15,49.243051,-98.541938
West Kildonan Collegiate,Winnipeg,16,49.954481,-97.093847
Margaret Barbour Collegiate Institute,The Pas,17,53.824896,-101.242314
Vincent Massey Collegiate,Winnipeg,18,49.839846,-97.150379
Kildonan-East Collegiate,Winnipeg,19,49.916961,-97.075570
Southeast Collegiate,Winnipeg,20,49.797348,-97.168190
Gilbert Plains Collegiate Institute,Gilbert Plains,21,51.152677,-100.484292
Argyle Alternative High School,Winnipeg,22,49.902041,-97.129457
Vincent Massey High,Brandon,23,49.838388,-99.977984
Gray Academy of Jewish Education,Winnipeg,24,49.872007,-97.208637
Collège Churchill,Winnipeg,25,49.868076,-97.131619
Helen Betty Osborne Ininiw Edu. Res. Ctr,Norway House,26,53.982069,-97.832932
Dauphin Regional Comp Secondary,Dauphin,27,51.146747,-100.038621
Landmark Collegiate,Landmark,28,49.668603,-96.819760
Collège Jeanne-Sauv,Winnipeg,29,49.821023,-97.100301
Fisher Branch Collegiate,Fisher Branch,30,51.082706,-97.608034
Tech-Vocational High,Winnipeg,31,49.906051,-97.180419
Minnedosa Collegiate,Minnedosa,32,50.249080,-99.841804
Erickson Collegiate Institute,Erickson,33,50.500543,-99.911227
Carberry Collegiate,Carberry,34,49.869779,-99.358260
Crocus Plains Regional Secondary,Brandon,35,49.819209,-99.940365
Hamiota Collegiate,Hamiota,36,50.184518,-100.600715
Macgregor Collegiate,Macgregor,37,49.969578,-98.780404
Immanuel Christian School,Winnipeg,38,49.892345,-97.048126
St. James Collegiate,Winnipeg,39,49.878129,-97.220275
Pinawa Secondary School,Pinawa,40,50.149127,-95.881054
Steinbach Regional Secondary,Steinbach,41,49.516237,-96.688528
Carman Collegiate,Carman,42,49.503447,-97.994704
Portage Collegiate Institute,Portage La Prairie,43,49.972856,-98.296796
Teulon Collegiate,Teulon,44,50.391758,-97.262133
John Taylor Collegiate,Winnipeg,45,49.890917,-97.312555
Collège Béliveau,Winnipeg,46,49.862903,-97.071736
University of Winnipeg Collegiate,Winnipeg,47,49.890884,-97.153356
Frontier Collegiate Institute,Cranberry Portage,48,54.585456,-101.371665
Glenlawn Collegiate,Winnipeg,49,49.853140,-97.112353
Transcona Collegiate,Winnipeg,50,49.903683,-97.008615
William Morton Collegiate,Gladstone,51,50.220944,-98.951621
St. John's High,Winnipeg,52,49.924923,-97.135515
Balmoral Hall School,Winnipeg,53,49.880501,-97.156312
Riverton Collegiate,Riverton,54,50.993053,-97.002249
Ste. Anne Collegiate,Ste Anne,55,49.670263,-96.643648
Gimli High School,Gimli,56,50.634949,-96.997987
Shaftesbury High,Winnipeg,57,49.857461,-97.229436
J.H. Bruns Collegiate,Winnipeg,58,49.847042,-97.077525
Windsor Park Collegiate,Winnipeg,59,49.861637,-97.073922
Arborg Collegiate,Arborg,60,50.914060,-97.214600
Springs Christian Academy,Winnipeg,61,49.880636,-97.108391
St. Boniface Diocesan High School,Winnipeg,62,49.877079,-97.114412
Melita School,Melita,63,49.277367,-100.992529
Sisler High,Winnipeg,64,49.931747,-97.176973
Collège Sturgeon Heights Collegiate,Winnipeg,65,49.887190,-97.267947
Glenboro School,Glenboro,66,49.558355,-99.283705
Faith Academy,Winnipeg,67,49.932479,-97.132374
Birtle Collegiate,Birtle,68,50.419736,-101.042693
Churchill High,Winnipeg,69,49.868076,-97.131619
Oak Park High,Winnipeg,70,49.850881,-97.309160
St. Mary's Academy,Winnipeg,71,49.875419,-97.164474
St. Paul's High School,Winnipeg,72,49.857111,-97.226821
Dakota Collegiate,Winnipeg,73,49.835327,-97.109537
The Laureate Academy,Winnipeg,74,49.770364,-97.143178
Reston Collegiate,Reston,75,49.561185,-101.098280
Stonewall Collegiate,Stonewall,76,50.136184,-97.334721
Killarney School,Killarney,77,49.184527,-99.671443
R.D. Parker Collegiate,Thompson,78,55.748374,-97.865508
Gordon Bell High,Winnipeg,79,49.886425,-97.161957
Lundar School,Lundar,80,50.693602,-98.033398
St. John's Ravenscourt School,Winnipeg,81,49.843384,-97.122342
Rossburn Collegiate,Rossburn,82,50.675751,-100.811659
Grant Park High,Winnipeg,83,49.856036,-97.170341
Memorial High School,Oxford House,84,54.922439,-95.274137
Virden Collegiate,Virden,85,49.842985,-100.925148
Sanford Collegiate,Sanford,86,49.683215,-97.437598
Ashern Central School,Ashern,87,51.185645,-98.347214
Treherne Collegiate,Treherne,88,49.622846,-98.697185
Westgate Mennonite Collegiate,Winnipeg,89,49.876697,-97.158749
Springfield Collegiate,Oakbank,90,49.939367,-96.847373
Mennonite Collegiate Institute,Gretna,91,49.009675,-97.565958
Lord Selkirk Regional Secondary,Selkirk,92,50.140732,-96.891125
Morden Collegiate,Morden,93,49.196040,-98.097547
Kelvin High,Winnipeg,94,49.873494,-97.166539
Gillam School,Gillam,95,56.347722,-94.709192
Rivers Collegiate,Rivers,96,50.033212,-100.247437
Hapnot Collegiate,Flin Flon,97,54.768414,-101.852247
Deloraine School,Deloraine,98,49.191508,-100.490371
Mennonite Brethren Collegiate Inst.,Winnipeg,99,49.909391,-97.116185
Linden Christian School,Winnipeg,100,49.848757,-97.182146
Souris School,Souris,101,49.623095,-100.253148
Warren Collegiate,Warren,102,50.130681,-97.539025
Children Of The Earth High School,Winnipeg,103,49.913250,-97.142824
Westwood Collegiate,Winnipeg,104,49.875864,-97.299861
Grandview School,Grandview,105,51.176031,-100.697932
Concord School,Winnipeg,106,49.892523,-97.140662
Garden Valley Collegiate,Winkler,107,49.189628,-97.941077
Swan Valley Regional Secondary School,Swan River,108,52.111130,-101.253555
Major Pratt School,Russell,109,50.778398,-101.282381
Daniel McIntyre Collegiate Institute,Winnipeg,110,49.900037,-97.171018
