School Name,City,Rank,Latitude,Longitude
Samuel Hearne Secondary School,Inuvik,1,68.360539,-133.727053
Ecole Sir John Franklin,Yellowknife,2,62.452472,-114.361660
Diamond Jenness Secondary School,Hay River,3,60.810704,-115.784821
P.W. Kaeser High School,Fort Smith,4,60.005010,-111.892070
Ecole St. Patrick High School,Yellowknife,5,62.456381,-114.363259
Thomas Simpson Secondary,Fort Simpson,6,61.863611,-121.355849
Chief Jimmy Bruneau School,Behchoko,7,62.827996,-116.049049
Mackenzie Mountain School,Norman Wells,8,65.282817,-126.831050
Mangilaluk School,Tuktoyaktuk,9,69.443268,-133.025645
Chief Julius School,Fort McPherson,10,67.437056,-134.879838
Moose Kerr School,Aklavik,11,68.221465,-135.005536
Deh Gah Elem. & Second School,Fort Providence,12,61.353985,-117.658414
Eehtseo Ayha School,Deline,13,65.189385,-123.423243
Chief T'Selehye School,Fort Good Hope,14,66.263009,-128.622448
Chief Albert Wright School,Tulita,15,64.902459,-125.580560
Colville Lake School,Colville Lake,16,67.038897,-126.090672
Mezi Community School,Whati,17,63.145356,-117.272125
Deninu School,Fort Resolution,18,61.170174,-113.666687
