province,school_name,city,rank_2024,rank_5yr,trend,overall_rating_2024,overall_rating_5yr,source
QC,Collège Saint-Louis,Montréal,1,1,flat,10.0,10.0,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Jean-Eudes,Montréal,1,2,flat,10.0,9.9,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Jean-de-Brébeuf,Montréal,1,2,flat,10.0,9.9,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Pasteur,Montréal,1,7,flat,10.0,9.7,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Saint-Alexandre,Gatineau,1,5,up,10.0,9.8,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Saint-Nom-de-Marie,Montréal,1,5,flat,10.0,9.8,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Saint-Sacrement,Terrebonne,1,7,up,10.0,9.7,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Sainte-Anne de Lachine,Montréal,1,11,flat,10.0,9.6,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,École internationale de Montréal,Westmount,1,2,flat,10.0,9.9,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Saint-Joseph de Hull,Gatineau,10,7,flat,9.9,9.7,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Sainte-Marcelline,Montréal,10,14,up,9.9,9.5,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Beaubois,Montréal,12,14,flat,9.8,9.5,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Charlemagne,Montréal,12,7,flat,9.8,9.7,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Jean de la Mennais,La Prairie,12,11,flat,9.8,9.6,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Collège Laval,Laval,15,11,flat,9.6,9.6,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Lucille-Teasdale,Brossard,15,18,up,9.6,9.2,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,The Study,Westmount,15,18,flat,9.6,9.2,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,École d’éducation internationale,Laval,15,14,flat,9.6,9.5,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Ali Ibn Abi Talib,Montréal,19,26,flat,9.5,8.8,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,"“Skver, section française”",Montréal,19,21,up,9.5,9.1,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Beth Rivkah,Montréal,21,32,up,9.3,8.6,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,De Roberval,Montréal,21,30,up,9.3,8.7,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,L’Académie Sainte-Thérèse,Sainte-Thérèse,21,23,up,9.3,9.0,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Mont-Saint-Louis,Montréal,24,21,flat,9.2,9.1,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Regina Assumpta,Montréal,24,18,flat,9.2,9.2,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Externat Sacré-Coeur,Rosemère,26,26,up,9.1,8.8,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Miss Edgar’s & Miss Cramp’s,Westmount,26,26,flat,9.1,8.8,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
QC,Durocher Saint-Lambert,Saint-Lambert,28,24,flat,9.0,8.9,https://www.compareschoolrankings.org/pdf/bulletin-des-ecoles-secondaires-du-quebec-2025.pdf
