School Name,City,Rank,Latitude,Longitude
Naicam School,NAICAM,1,52.420478,-104.494840
Foam Lake Composite High School,FOAM LAKE,2,51.638938,-103.532178
Luseland School,LUSELAND,3,52.082391,-109.385431
Langenburg High School,LANGENBURG,4,50.847209,-101.705616
Esterhazy Central High School,ESTERHAZY,5,50.656234,-102.070315
Mossbank School,MOSSBANK,6,49.935521,-105.966923
Spiritwood High School,SPIRITWOOD,7,53.365518,-107.525862
Carrot River High School,CARROT RIVER,8,53.284247,-103.589355
Estevan Comprehensive,ESTEVAN,9,49.151341,-102.971100
Humboldt Collegiate Institute,HUMBOLDT,10,52.199673,-105.138843
Yorkton Regional High School,YORKTON,11,51.215882,-102.475590
Rosetown Central High School,ROSETOWN,12,51.552285,-107.997107
Caronport High School,CARONPORT,13,50.457381,-105.814861
Carpenter High School,MEADOW LAKE,14,54.122425,-108.441498
Weyburn Comprehensive School,WEYBURN,15,49.670855,-103.860080
Melfort & Unit Comprehensive Collegiate,MELFORT,16,52.864628,-104.600273
Tisdale Middle & Secondary School,TISDALE,17,52.844939,-104.045232
Kindersley Composite School,KINDERSLEY,18,51.472819,-109.152648
Canora Composite School,CANORA,19,51.630236,-102.436404
Swift Current Comprehensive High School,SWIFT CURRENT,20,50.298469,-107.786264
Lloydminster Education Advancement Program,LLOYDMINSTER,21,53.262873,-110.003936
Prince Albert Collegiate Institute,PRINCE ALBERT,22,53.194358,-105.756074
Carlton Comprehensive High School,PRINCE ALBERT,23,53.185908,-105.736053
Nutana Collegiate,SASKATOON,24,52.119082,-106.661402
Walter Murray Collegiate,SASKATOON,25,52.106466,-106.621246
Evan Hardy Collegiate,SASKATOON,26,52.120118,-106.598049
Marion M. Graham Collegiate,SASKATOON,27,52.177238,-106.619560
Bedford Road Collegiate,SASKATOON,28,52.133737,-106.680986
Mount Royal Collegiate,SASKATOON,29,52.133589,-106.705131
Aden Bowman Collegiate,SASKATOON,30,52.106905,-106.647379
City Park Collegiate,SASKATOON,31,52.140296,-106.648686
Bethlehem Catholic High School,SASKATOON,32,52.128341,-106.744661
Bishop James Mahoney High School,SASKATOON,33,52.172270,-106.632025
Bishop Murray High School,SASKATOON,34,52.119394,-106.639334
Holy Cross High School,SASKATOON,35,52.104744,-106.615438
E.D. Feehan Catholic High School,SASKATOON,36,52.133971,-106.689245
St. Joseph High School,SASKATOON,37,52.147677,-106.583715
Saskatoon Christian School,SASKATOON,38,52.087567,-106.591686
Balfour Collegiate,REGINA,39,50.440023,-104.599045
Campbell Collegiate,REGINA,40,50.412690,-104.610491
Cochrane High School,REGINA,41,50.443542,-104.568191
F.W. Johnson Collegiate,REGINA,42,50.449680,-104.547707
Martin Collegiate,REGINA,43,50.461821,-104.654616
Miller Comprehensive High School,REGINA,44,50.440028,-104.596441
Scott Collegiate,REGINA,45,50.459475,-104.630613
Sheldon-Williams Collegiate,REGINA,46,50.436802,-104.636496
Thom Collegiate,REGINA,47,50.480644,-104.631607
Winston Knoll Collegiate,REGINA,48,50.495532,-104.656560
Robert Usher Collegiate,REGINA,49,50.484446,-104.601176
Archbishop M.C. O'Neill High School,REGINA,50,50.477526,-104.633222
Dr. Martin LeBoldus High School,REGINA,51,50.419007,-104.614448
Michael A. Riffel High School,REGINA,52,50.494952,-104.662769
Harvest City Christian Academy,REGINA,53,50.482728,-104.612365
Regina Christian School,REGINA,54,50.423065,-104.617185
St. Luke (Alternate) School,REGINA,55,50.468802,-104.630796
Central Collegiate,MOOSE JAW,56,50.398630,-105.539003
Vanier Collegiate,MOOSE JAW,57,50.405525,-105.543569
Riverview Collegiate Institute,MOOSE JAW,58,50.382628,-105.550885
Albert E. Peacock Collegiate,MOOSE JAW,59,50.397530,-105.529852
John Chisholm Alternate School,MOOSE JAW,60,50.403898,-105.565628
Cornerstone Christian School,MOOSE JAW,61,50.382972,-105.533026
North Battleford Comprehensive,NORTH BATTLEFORD,62,52.782973,-108.286092
John Paul II Collegiate,NORTH BATTLEFORD,63,52.778742,-108.304205
McNaughton High School,MOOSOMIN,64,50.142544,-101.671290
Melville Comprehensive,MELVILLE,65,50.934366,-102.798659
Sacred Heart High School,YORKTON,66,51.220192,-102.476086
Kamsack Comprehensive Institute,KAMSACK,67,51.561748,-101.885579
Hudson Bay Composite High School,HUDSON BAY,68,52.858088,-102.393710
Preeceville School,PREECEVILLE,69,51.958633,-102.672264
Sturgis Composite High School,STURGIS,70,51.936408,-102.534872
Wadena Composite School,WADENA,71,51.953802,-103.793500
Wynyard Composite High School,WYNYARD,72,51.767368,-104.189960
Watrous Winston High School,WATROUS,73,51.675608,-105.462021
Davidson High School,DAVIDSON,74,51.263084,-105.984758
Outlook High School,OUTLOOK,75,51.483244,-107.052991
Gravelbourg High School,GRAVELBOURG,76,49.872750,-106.560530
Assiniboia Composite High,ASSINIBOIA,77,49.624848,-105.997508
Radville Regional High School,RADVILLE,78,49.458945,-104.302302
Oxbow Prairie Heights School,OXBOW,79,49.233017,-102.175606
Carnduff Education Complex,CARNDUFF,80,49.170371,-101.795970
Redvers School,REDVERS,81,49.575176,-101.698913
Indian Head High School,INDIAN HEAD,82,50.539420,-103.671529
Grenfell High School,GRENFELL,83,50.407930,-102.930783
Whitewood School,WHITEWOOD,84,50.326894,-102.265874
Lumsden High School,LUMSDEN,85,50.647945,-104.874458
Warman High School,WARMAN,86,52.318008,-106.572076
Martensville High School,MARTENSVILLE,87,52.292623,-106.659846
Dalmeny High School,DALMENY,88,52.341922,-106.773088
Hague High School,HAGUE,89,52.512707,-106.421223
Rosthern High School,ROSTHERN,90,52.666664,-106.345323
Waldheim School,WALDHEIM,91,52.618821,-106.650878
Biggar Central School 2000,BIGGAR,92,52.058785,-107.979947
Unity Composite High School,UNITY,93,52.440640,-109.152198
Maidstone High School,MAIDSTONE,94,53.086852,-109.284652
Lashburn High School,LASHBURN,95,53.129814,-109.611800
Cut Knife High School,CUT KNIFE,96,52.744240,-109.013863
McLurg High School,WILKIE,97,52.406669,-108.702381
Maple Creek Composite High School,MAPLE CREEK,98,49.899015,-109.480232
Leader Composite School,LEADER,99,50.891844,-109.544757
Shaunavon High School,SHAUNAVON,100,49.651214,-108.415089
